Date,DB하이텍,KEC,SFA반도체,SK하이닉스,광전자,네패스,다믈멀티미디어,덕산하이메탈,동운아나텍,라닉스,럭스피아,루멘스,미코,바른전자,비보존 헬스케어,서울반도체,시그네틱스,신성이엔지,실리콘웍스,써니전자,아나패스,아이앤씨,아이케이세미콘,아진엑스텍,알에프세미,알파홀딩스,앤씨앤,어보브반도체,에스엘바이오닉스,에이디테크놀로지,에이티세미콘,엔시트론,엘디티,엘비세미콘,오디텍,우리이앤엘,윈팩,유양디앤유,이미지스,일진디스플,제주반도체,지니틱스,지스마트글로벌,코아시아,큐에스아이,크로바하이텍,클라우드에어,테라셈,텔레칩스,티엘아이,파커스,피델릭스,하나마이크론,하나머티리얼즈,한양디지텍,현대에너지솔루션
2020-01-02,27900,1060,4325,94700,2155,24850,4705,7670,6821,7320,1000,3080,5800,1005,2060,16100,1155,954,39300,5000,30450,5290,4270,5146,5530,6970,2310,7210,2570,18526,743,1995,2895,8080,4930,1070,2100,9920,2785,3359,4325,2900,3340,6980,13650,2485,2135,3140,11350,4995,2795,1615,5510,18450,5980,16500
2020-01-03,27600,1060,4300,94500,2165,26700,4975,7730,6931,7220,990,3260,5700,1005,2530,16600,1150,956,39550,5660,31700,5210,4235,5307,5650,7210,2400,7160,2620,18618,742,2020,2865,8190,4935,1080,2090,9890,2795,3373,4365,2850,3430,6900,13900,2485,2155,3330,11050,5020,2770,1670,5460,18250,5980,16200
2020-01-06,28000,1020,4345,94300,2110,26800,4795,8010,6674,8850,990,3030,5600,1005,2475,16200,1140,934,40100,5660,31500,5180,4235,5563,5750,6970,2340,7120,2510,19168,750,1950,2800,8000,4785,1120,2065,9580,2760,3312,4350,2760,3220,6900,13950,2485,2045,2990,10900,5040,2740,1665,5510,18150,5850,15900
2020-01-07,28000,1035,4285,94000,2125,25750,4590,7940,6747,8980,995,2920,5550,1005,2270,16100,1160,945,42700,5350,31500,5000,4190,5765,5740,7040,2450,7120,2515,19168,790,1995,2790,7840,4810,1085,2030,9520,2750,3284,4515,2750,3180,6740,13750,2485,2070,2950,10950,5150,2785,1680,5640,18250,5830,17000
2020-01-08,28950,995,4180,97400,2050,24300,4435,7760,6729,8430,965,2870,5270,1005,2105,16000,1105,923,40200,5410,30200,4660,4190,5644,5470,6680,2275,7430,2320,17884,772,1910,2710,7940,4600,988,1990,8620,2665,3139,4320,2550,2410,6370,13350,2485,1985,2950,10500,5210,2715,1575,5830,18550,5730,17250
2020-01-09,29050,1040,4490,99000,2090,25000,4665,8000,6958,8730,995,2895,5530,1005,2220,16200,1185,967,42800,5690,31400,4865,4800,5812,5660,6830,2375,7640,2710,19535,826,1960,2760,8190,4800,1150,2170,9180,2750,3280,4450,2630,2310,6890,14550,2485,2140,2945,11100,5190,2755,1630,6110,19450,5950,19350
2020-01-10,28150,1055,4400,98900,2155,24500,4975,7880,7215,8980,1120,2695,5700,1005,2230,16100,1185,995,42450,6010,30550,4830,4965,5724,5720,7000,2360,7590,2710,20452,842,1990,2800,8060,4825,1190,2140,9350,2760,3312,4440,2680,2380,6860,14250,2485,2160,2190,11400,5070,2750,1660,6100,19100,5860,19500
2020-01-13,28800,1060,4435,100500,2165,25700,5060,7940,7068,9120,1100,2765,5760,1005,2380,16200,1180,1000,41600,5920,31100,4965,4945,5704,5780,7020,2470,7580,2710,19856,860,2010,2810,8350,4870,1300,2140,9990,2825,3331,4345,2750,2340,7390,14100,2485,2145,2110,11350,5100,2765,1680,6020,18500,5840,18700
2020-01-14,30150,1070,4500,100500,2150,25700,4955,8030,7114,9010,935,2550,5680,1005,2395,16500,1180,991,40750,6180,30750,5040,5620,5603,5790,6960,2495,7700,2710,22654,860,2010,2845,8420,4870,1300,2110,9740,2890,3312,4420,2730,2340,7450,14400,2485,2135,2105,11150,5120,2755,1660,6360,18300,5850,20000
2020-01-15,28800,1080,4495,98200,2230,25150,4830,7790,6931,9300,795,2570,5740,1005,2230,16050,1215,999,40550,6040,31050,5150,4780,5684,5770,7130,2515,7590,2710,24167,862,2015,2845,8440,4870,1425,2110,9730,3000,3561,4380,2875,2370,8230,14500,2485,2150,2025,11050,5110,2790,1665,6460,18150,5830,20500
2020-01-16,29100,1080,4605,99200,2235,26450,4815,7950,7059,8970,914,2535,5900,1005,2365,16000,1170,996,41150,5810,30900,5190,4500,5792,5810,7220,2520,7850,2710,25634,855,1985,2845,8500,4850,1380,2160,9590,3015,3964,4320,3030,2290,7910,15000,2485,2155,2000,11150,5110,2785,1725,6520,18500,5740,19900
2020-01-17,28450,1070,4685,99000,2235,25850,5100,7950,6940,8720,995,2560,5920,1005,2360,16000,1160,996,42000,6010,32900,5230,4395,5832,5730,7070,2430,7790,2710,25222,839,1990,2845,8690,4900,1300,2220,9810,3045,4161,4295,3245,2350,7910,15050,2485,2195,2000,11100,5110,2780,1715,6500,20200,5660,20100
2020-01-20,29000,1060,5390,99900,2195,26450,4150,7730,6830,8620,949,2530,5680,1005,2245,15500,1165,994,41300,5040,32900,5240,3740,5805,5750,7150,2390,7850,2710,25222,832,1955,2860,8620,4895,1270,2140,9630,3050,4245,4340,3310,2280,7520,14800,2485,2115,2005,11150,5010,2770,1635,6730,19650,5700,19700
2020-01-21,29100,1060,5490,99300,2150,25900,3965,8160,7050,8480,1070,2585,5430,1005,2145,15750,1130,979,39600,4825,32900,5270,3740,5664,5680,7000,2320,7720,2710,25680,820,1900,2880,8370,5030,1220,2140,10000,2995,4207,4200,3165,2220,7510,14650,2485,2060,2010,11150,5020,2745,1610,6730,19400,5690,19750
2020-01-22,31300,1075,5610,101000,2175,26650,4000,8340,7078,8680,1000,2810,5600,1005,2145,15650,1150,976,38750,4910,31600,5690,4085,5832,5710,7000,2350,8100,2710,28432,874,1940,2970,8470,5150,1265,2200,10120,3010,4760,4115,3335,2260,7760,15250,2485,2130,2015,11400,5200,2735,1640,6810,19500,5810,19450
2020-01-23,30300,1060,5860,98700,2175,26600,3920,8600,7518,8580,950,2790,5660,1005,2145,15350,1150,961,39300,4850,31600,5770,4085,5778,5720,6900,2350,8070,2710,28615,860,1940,2895,8330,5130,1255,2180,9820,3005,5126,4125,3410,2200,8190,16850,2485,2150,2020,11400,5220,2745,1640,6630,19500,5720,19200
2020-01-28,29800,1030,5870,96300,2085,25850,3905,8110,7123,8080,899,2575,5320,1005,2170,14950,1120,928,38050,4810,29900,5620,4085,5455,5510,6750,2210,7780,2710,29441,800,1930,2895,8000,5040,1170,2085,9270,2950,5322,4030,3200,2060,8200,17300,2485,2015,2000,10800,5120,2735,1575,6550,18900,5500,19200
2020-01-29,29350,1035,5850,97900,2110,25300,3840,8110,7555,8220,899,2755,5460,1005,2105,15000,1110,942,38650,4615,29650,5620,4085,5711,5600,7020,2310,7680,2710,28615,797,1930,3015,8120,5010,1180,2050,9370,2920,5379,4035,3320,2160,8610,17250,2485,1995,2000,11000,5060,2705,1580,6530,18700,5560,19200
2020-01-30,28850,1005,6210,94000,2060,25200,3695,8180,7601,7910,765,2570,6850,1005,2050,14800,1055,923,37150,4535,28500,5370,4085,5415,5370,6730,2285,7470,2710,26873,777,1885,2955,7840,4850,1190,1920,8580,2880,5276,3810,3100,2090,7950,17250,2485,1900,2000,10750,5010,2700,1535,6650,18000,5360,18250
2020-01-31,27350,997,5630,93500,2050,23700,3670,7830,7647,7510,878,2415,6440,1005,1940,14400,1045,889,37100,4415,27600,5180,4695,5361,5100,6600,2275,7190,2575,25451,769,1835,2865,7840,4680,1090,1870,8140,2925,5472,3700,2840,2000,7950,17550,2485,1885,1985,10600,4950,2700,1510,6120,17750,5320,18550
2020-02-03,28800,982,6030,94700,2000,23650,3875,8020,8179,7690,940,2480,5640,1005,2060,14500,1030,871,37350,4600,27900,5230,5390,5428,5100,6420,2370,7310,2985,27331,777,1800,2875,8080,4670,1160,1950,8190,3020,5341,3850,2945,1960,7940,17350,2485,1890,1930,10750,4900,2670,1470,6280,17800,5260,18400
2020-02-04,29150,1020,5990,97100,2055,25000,3970,8250,8372,8210,799,2525,5790,1005,1975,14900,1070,890,38800,4715,28500,5390,4590,5536,5390,6590,2450,8300,2830,27652,800,1810,2975,8230,4810,1180,2035,8470,3040,5332,3990,3040,2000,7920,17250,2485,2045,1940,11150,4990,2700,1495,6360,17900,5400,17850
2020-02-05,28300,1030,5930,97700,2055,25000,4060,8000,8243,8300,849,2485,5920,1005,1940,15450,1075,914,38700,4625,28800,5210,4500,5462,5440,6980,2415,9030,2800,26552,800,1820,2900,8250,4830,1170,1995,8370,2980,5744,3940,3000,1990,7940,16950,2485,2050,1940,11250,4945,2700,1530,6190,17500,5380,18100
2020-02-06,28800,1040,6140,100500,2090,25150,3995,8150,8179,8470,849,2550,6140,1005,1970,15400,1085,967,38600,4670,28650,5230,3825,5482,5430,7070,2415,9240,2840,27194,807,1840,2940,8480,4870,1180,2015,8630,3030,5210,4005,3205,2020,8100,18500,2485,2010,1905,11300,4945,2690,1540,6630,17750,5200,22450
2020-02-07,28300,1060,6090,99300,2060,24850,3990,8130,8005,8510,936,2515,6890,1005,1925,15300,1070,980,37450,4765,28000,5150,3825,5348,5460,7010,2365,9540,3000,26001,803,1825,2900,8360,4870,1215,2000,8570,3020,5201,3980,3215,1980,8150,18300,2485,2010,1905,11150,4955,2690,1525,6420,17300,5200,21650
2020-02-10,29050,1070,6110,98800,2070,25100,3830,8000,7683,8810,935,2530,6660,1005,1870,15250,1060,970,38150,4505,28000,5130,3825,5146,5400,6890,2490,9450,3240,24947,787,1825,2925,8350,5010,1215,1990,8450,3000,4901,3990,3195,1930,7730,18250,2485,1980,1835,11200,4950,2640,1535,6240,17450,5070,22100
2020-02-11,28000,1100,6340,99800,2090,25200,3900,7930,7885,9120,1050,2645,6850,1005,1850,15400,1090,992,38400,4530,28150,5350,3930,5206,5510,6850,2945,9700,3345,23938,795,1760,2950,8330,5170,1200,2010,8480,3040,4929,3980,3045,1890,7440,18800,2485,1970,1850,11250,4930,2670,1545,6200,17300,5090,22850
2020-02-12,28700,1100,6150,100000,2115,26650,3945,8110,7674,9160,895,2670,6430,1005,1865,15550,1090,982,38500,4465,29700,5240,3930,5267,5660,6830,3000,9540,3350,24121,800,1850,2895,8620,5120,1200,2090,8410,3030,4681,4020,3175,1920,7270,19950,2485,2010,2020,10250,4915,2680,1565,6670,17650,5230,21700
2020-02-13,29850,1085,6200,102000,2120,26500,3975,8180,7261,8800,765,2750,6340,1005,1810,17500,1095,973,38500,4475,29800,5190,3925,5422,6510,6790,2725,9310,3355,25176,793,1850,3020,8590,5100,1205,2035,8280,3055,4451,3990,3115,1940,7500,19600,2485,1975,2060,10050,4910,2680,1560,6530,19150,5220,20800
2020-02-14,30150,1100,6100,104500,2110,27950,3995,8240,7362,9170,869,2855,6780,1005,1820,18800,1120,970,38300,4530,30750,5280,3925,5422,6190,6690,2755,9610,3370,25680,780,1790,3120,9230,5230,1150,2075,8340,3050,4788,4015,3285,1940,7880,21700,2485,2020,2055,10100,4910,2685,1540,6640,20000,5330,20700
2020-02-17,29850,1065,6280,105000,2090,28500,3760,8420,7775,9140,850,2860,6550,1005,1820,18950,1115,960,38900,4500,31700,5230,3925,5684,6180,6640,2920,9890,3405,25864,762,1785,3105,9230,5280,1145,2070,8130,3040,4592,4115,3260,1910,7840,23050,2485,2015,2030,10500,4895,2665,1550,6990,20200,5460,21700
